Date,Sunrise [h],Sunrise [min],Sunset [h],Sunset [min]
2024-01-01,7,45,15,33
2024-01-02,7,45,15,34
2024-01-03,7,44,15,35
2024-01-04,7,44,15,36
2024-01-05,7,44,15,37
2024-01-06,7,44,15,39
2024-01-07,7,43,15,40
2024-01-08,7,43,15,41
2024-01-09,7,42,15,43
2024-01-10,7,42,15,44
2024-01-11,7,41,15,46
2024-01-12,7,40,15,47
2024-01-13,7,39,15,49
2024-01-14,7,39,15,50
2024-01-15,7,38,15,52
2024-01-16,7,37,15,53
2024-01-17,7,36,15,55
2024-01-18,7,35,15,57
2024-01-19,7,34,15,58
2024-01-20,7,33,16,0
2024-01-21,7,32,16,2
2024-01-22,7,31,16,3
2024-01-23,7,29,16,5
2024-01-24,7,28,16,7
2024-01-25,7,27,16,9
2024-01-26,7,25,16,10
2024-01-27,7,24,16,12
2024-01-28,7,23,16,14
2024-01-29,7,21,16,16
2024-01-30,7,20,16,18
2024-01-31,7,18,16,20
2024-02-01,7,17,16,21
2024-02-02,7,15,16,23
2024-02-03,7,13,16,25
2024-02-04,7,12,16,27
2024-02-05,7,10,16,29
2024-02-06,7,8,16,31
2024-02-07,7,6,16,33
2024-02-08,7,5,16,35
2024-02-09,7,3,16,36
2024-02-10,7,1,16,38
2024-02-11,6,59,16,40
2024-02-12,6,57,16,42
2024-02-13,6,55,16,44
2024-02-14,6,53,16,46
2024-02-15,6,51,16,48
2024-02-16,6,49,16,50
2024-02-17,6,47,16,52
2024-02-18,6,45,16,53
2024-02-19,6,43,16,55
2024-02-20,6,41,16,57
2024-02-21,6,39,16,59
2024-02-22,6,37,17,1
2024-02-23,6,35,17,3
2024-02-24,6,33,17,5
2024-02-25,6,31,17,6
2024-02-26,6,29,17,8
2024-02-27,6,26,17,10
2024-02-28,6,24,17,12
2024-02-29,6,22,17,14
2024-03-01,6,20,17,16
2024-03-02,6,18,17,17
2024-03-03,6,15,17,19
2024-03-04,6,13,17,21
2024-03-05,6,11,17,23
2024-03-06,6,9,17,25
2024-03-07,6,6,17,26
2024-03-08,6,4,17,28
2024-03-09,6,2,17,30
2024-03-10,5,59,17,32
2024-03-11,5,57,17,33
2024-03-12,5,55,17,35
2024-03-13,5,52,17,37
2024-03-14,5,50,17,39
2024-03-15,5,48,17,41
2024-03-16,5,45,17,42
2024-03-17,5,43,17,44
2024-03-18,5,41,17,46
2024-03-19,5,38,17,48
2024-03-20,5,36,17,49
2024-03-21,5,34,17,51
2024-03-22,5,31,17,53
2024-03-23,5,29,17,55
2024-03-24,5,27,17,56
2024-03-25,5,24,17,58
2024-03-26,5,22,18,0
2024-03-27,5,20,18,1
2024-03-28,5,17,18,3
2024-03-29,5,15,18,5
2024-03-30,5,13,18,7
2024-03-31,6,10,19,8
2024-04-01,6,8,19,10
2024-04-02,6,6,19,12
2024-04-03,6,3,19,14
2024-04-04,6,1,19,15
2024-04-05,5,59,19,17
2024-04-06,5,57,19,19
2024-04-07,5,54,19,20
2024-04-08,5,52,19,22
2024-04-09,5,50,19,24
2024-04-10,5,47,19,26
2024-04-11,5,45,19,27
2024-04-12,5,43,19,29
2024-04-13,5,41,19,31
2024-04-14,5,39,19,33
2024-04-15,5,36,19,34
2024-04-16,5,34,19,36
2024-04-17,5,32,19,38
2024-04-18,5,30,19,40
2024-04-19,5,28,19,41
2024-04-20,5,25,19,43
2024-04-21,5,23,19,45
2024-04-22,5,21,19,46
2024-04-23,5,19,19,48
2024-04-24,5,17,19,50
2024-04-25,5,15,19,52
2024-04-26,5,13,19,53
2024-04-27,5,11,19,55
2024-04-28,5,9,19,57
2024-04-29,5,7,19,58
2024-04-30,5,5,20,0
2024-05-01,5,3,20,2
2024-05-02,5,1,20,3
2024-05-03,4,59,20,5
2024-05-04,4,58,20,7
2024-05-05,4,56,20,8
2024-05-06,4,54,20,10
2024-05-07,4,52,20,12
2024-05-08,4,50,20,13
2024-05-09,4,49,20,15
2024-05-10,4,47,20,17
2024-05-11,4,45,20,18
2024-05-12,4,44,20,20
2024-05-13,4,42,20,21
2024-05-14,4,41,20,23
2024-05-15,4,39,20,25
2024-05-16,4,38,20,26
2024-05-17,4,36,20,28
2024-05-18,4,35,20,29
2024-05-19,4,33,20,31
2024-05-20,4,32,20,32
2024-05-21,4,31,20,34
2024-05-22,4,29,20,35
2024-05-23,4,28,20,36
2024-05-24,4,27,20,38
2024-05-25,4,26,20,39
2024-05-26,4,25,20,40
2024-05-27,4,24,20,42
2024-05-28,4,23,20,43
2024-05-29,4,22,20,44
2024-05-30,4,21,20,45
2024-05-31,4,20,20,46
2024-06-01,4,19,20,48
2024-06-02,4,19,20,49
2024-06-03,4,18,20,50
2024-06-04,4,17,20,51
2024-06-05,4,17,20,52
2024-06-06,4,16,20,53
2024-06-07,4,16,20,53
2024-06-08,4,15,20,54
2024-06-09,4,15,20,55
2024-06-10,4,14,20,56
2024-06-11,4,14,20,56
2024-06-12,4,14,20,57
2024-06-13,4,14,20,58
2024-06-14,4,14,20,58
2024-06-15,4,13,20,59
2024-06-16,4,13,20,59
2024-06-17,4,14,21,0
2024-06-18,4,14,21,0
2024-06-19,4,14,21,0
2024-06-20,4,14,21,1
2024-06-21,4,14,21,1
2024-06-22,4,14,21,1
2024-06-23,4,15,21,1
2024-06-24,4,15,21,1
2024-06-25,4,16,21,1
2024-06-26,4,16,21,1
2024-06-27,4,17,21,1
2024-06-28,4,17,21,1
2024-06-29,4,18,21,0
2024-06-30,4,19,21,0
2024-07-01,4,19,21,0
2024-07-02,4,20,20,59
2024-07-03,4,21,20,59
2024-07-04,4,22,20,58
2024-07-05,4,23,20,58
2024-07-06,4,24,20,57
2024-07-07,4,25,20,57
2024-07-08,4,26,20,56
2024-07-09,4,27,20,55
2024-07-10,4,28,20,54
2024-07-11,4,29,20,53
2024-07-12,4,30,20,53
2024-07-13,4,31,20,52
2024-07-14,4,32,20,51
2024-07-15,4,34,20,50
2024-07-16,4,35,20,48
2024-07-17,4,36,20,47
2024-07-18,4,37,20,46
2024-07-19,4,39,20,45
2024-07-20,4,40,20,44
2024-07-21,4,42,20,42
2024-07-22,4,43,20,41
2024-07-23,4,44,20,40
2024-07-24,4,46,20,38
2024-07-25,4,47,20,37
2024-07-26,4,49,20,35
2024-07-27,4,50,20,34
2024-07-28,4,52,20,32
2024-07-29,4,53,20,31
2024-07-30,4,55,20,29
2024-07-31,4,56,20,27
2024-08-01,4,58,20,26
2024-08-02,4,59,20,24
2024-08-03,5,1,20,22
2024-08-04,5,3,20,20
2024-08-05,5,4,20,19
2024-08-06,5,6,20,17
2024-08-07,5,7,20,15
2024-08-08,5,9,20,13
2024-08-09,5,11,20,11
2024-08-10,5,12,20,9
2024-08-11,5,14,20,7
2024-08-12,5,16,20,5
2024-08-13,5,17,20,3
2024-08-14,5,19,20,1
2024-08-15,5,20,19,59
2024-08-16,5,22,19,57
2024-08-17,5,24,19,55
2024-08-18,5,25,19,53
2024-08-19,5,27,19,51
2024-08-20,5,29,19,49
2024-08-21,5,30,19,47
2024-08-22,5,32,19,44
2024-08-23,5,34,19,42
2024-08-24,5,35,19,40
2024-08-25,5,37,19,38
2024-08-26,5,38,19,36
2024-08-27,5,40,19,33
2024-08-28,5,42,19,31
2024-08-29,5,43,19,29
2024-08-30,5,45,19,27
2024-08-31,5,47,19,24
2024-09-01,5,48,19,22
2024-09-02,5,50,19,20
2024-09-03,5,52,19,18
2024-09-04,5,53,19,15
2024-09-05,5,55,19,13
2024-09-06,5,57,19,11
2024-09-07,5,58,19,8
2024-09-08,6,0,19,6
2024-09-09,6,1,19,4
2024-09-10,6,3,19,1
2024-09-11,6,5,18,59
2024-09-12,6,6,18,57
2024-09-13,6,8,18,54
2024-09-14,6,10,18,52
2024-09-15,6,11,18,50
2024-09-16,6,13,18,47
2024-09-17,6,15,18,45
2024-09-18,6,16,18,43
2024-09-19,6,18,18,40
2024-09-20,6,20,18,38
2024-09-21,6,21,18,35
2024-09-22,6,23,18,33
2024-09-23,6,25,18,31
2024-09-24,6,26,18,28
2024-09-25,6,28,18,26
2024-09-26,6,29,18,24
2024-09-27,6,31,18,21
2024-09-28,6,33,18,19
2024-09-29,6,35,18,17
2024-09-30,6,36,18,14
2024-10-01,6,38,18,12
2024-10-02,6,40,18,10
2024-10-03,6,41,18,7
2024-10-04,6,43,18,5
2024-10-05,6,45,18,3
2024-10-06,6,46,18,0
2024-10-07,6,48,17,58
2024-10-08,6,50,17,56
2024-10-09,6,51,17,54
2024-10-10,6,53,17,51
2024-10-11,6,55,17,49
2024-10-12,6,57,17,47
2024-10-13,6,58,17,45
2024-10-14,7,0,17,42
2024-10-15,7,2,17,40
2024-10-16,7,4,17,38
2024-10-17,7,5,17,36
2024-10-18,7,7,17,34
2024-10-19,7,9,17,32
2024-10-20,7,11,17,30
2024-10-21,7,12,17,27
2024-10-22,7,14,17,25
2024-10-23,7,16,17,23
2024-10-24,7,18,17,21
2024-10-25,7,20,17,19
2024-10-26,7,21,17,17
2024-10-27,6,23,16,15
2024-10-28,6,25,16,13
2024-10-29,6,27,16,11
2024-10-30,6,29,16,9
2024-10-31,6,30,16,8
2024-11-01,6,32,16,6
2024-11-02,6,34,16,4
2024-11-03,6,36,16,2
2024-11-04,6,38,16,0
2024-11-05,6,40,15,59
2024-11-06,6,41,15,57
2024-11-07,6,43,15,55
2024-11-08,6,45,15,53
2024-11-09,6,47,15,52
2024-11-10,6,49,15,50
2024-11-11,6,50,15,49
2024-11-12,6,52,15,47
2024-11-13,6,54,15,46
2024-11-14,6,56,15,44
2024-11-15,6,57,15,43
2024-11-16,6,59,15,41
2024-11-17,7,1,15,40
2024-11-18,7,3,15,39
2024-11-19,7,4,15,38
2024-11-20,7,6,15,36
2024-11-21,7,8,15,35
2024-11-22,7,9,15,34
2024-11-23,7,11,15,33
2024-11-24,7,13,15,32
2024-11-25,7,14,15,31
2024-11-26,7,16,15,30
2024-11-27,7,17,15,29
2024-11-28,7,19,15,28
2024-11-29,7,20,15,28
2024-11-30,7,22,15,27
2024-12-01,7,23,15,26
2024-12-02,7,25,15,26
2024-12-03,7,26,15,25
2024-12-04,7,27,15,25
2024-12-05,7,28,15,24
2024-12-06,7,30,15,24
2024-12-07,7,31,15,23
2024-12-08,7,32,15,23
2024-12-09,7,33,15,23
2024-12-10,7,34,15,23
2024-12-11,7,35,15,23
2024-12-12,7,36,15,23
2024-12-13,7,37,15,23
2024-12-14,7,38,15,23
2024-12-15,7,39,15,23
2024-12-16,7,40,15,23
2024-12-17,7,40,15,23
2024-12-18,7,41,15,24
2024-12-19,7,42,15,24
2024-12-20,7,42,15,24
2024-12-21,7,43,15,25
2024-12-22,7,43,15,25
2024-12-23,7,44,15,26
2024-12-24,7,44,15,27
2024-12-25,7,44,15,27
2024-12-26,7,45,15,28
2024-12-27,7,45,15,29
2024-12-28,7,45,15,30
2024-12-29,7,45,15,31
2024-12-30,7,45,15,32
2024-12-31,7,45,15,33
